1. 3C분석,,,2. SWOT 분석,,,,,
고객,경쟁사,자사,Strength (강점),Weakness (약점),Opportunity (기회),Threat (위협),,
" 탄탄한 장수 브랜드 중심, 차별화된 비탄산 음료 강자
- 원재료 상승으로 인한 이익률 하락 및 재고관리 이슈
- 빅브랜드 집중 및 포트폴리오 다변화 노력"," 롯데칠성음료(사이다, 주스 등), 광동제약(옥수수수염차 등), 코카콜라 등
- 롯데칠성의 과점 및 강력한 탄산 라인업에 대한 대응 필요"," 건강(건강차, 제로 음료) 및 편의성 중심의 소비 트렌드 강화
- 저칼로리 및 제로(Zero) 음료 선호하는 MZ세대 증가","강력한 브랜드 포트폴리오: 자연은, 초록매실, 아침햇살, 하늘보리 등 장수 브랜드 기반의 안정적인 수요층 확보 맥스앤마블, 레포트마켓.",음료 중심의 사업 구조: 음료 외 식품 라인업이 상대적으로 약해 음료 시장 경기 변동에 큰 영향을 받음.,"헬시 플레저 트렌드: 건강한 음료(차, 제로 칼로리)에 대한 수요 증가 맥스앤마블.",치열한 시장 경쟁: 대형 음료사의 공격적인 마케팅 및 다양한 신제품 출시로 인한 시장 점유율 방어 필요 레포트마켓.원자재 가격 상승: 음료 원재료 및 물류비용 상승으로 인한 영업이익률 감소 압박,,
,,,,,,. ,,
,,,,,,,,
,,,,,,,,
4. 평가항목 기준,,,,,,,,
제품명,카테고리,핵심컨셉,높을수록 불리),,,,,
Company 적합성(1~5),원가 안정성(1~5),제조 난이도(1~5),SWOT Threat 점수,,,,,
Customer 수용성(1~5),반복구매 가능성(1~5),,,,,,,
경쟁강도(1~5,높을수록 불리),자사SKU 간섭도(1~5,,,,,,
SWOT Strength 점수,SWOT Weakness 점수,SWOT Opportunity 점수,,,,,,
마케팅 난이도(1~5),,,,,,,,
종합점수,,,,,,,,
,,,,,,,,
제품명/브랜드(가칭),카테고리,Company 적합성(1~5),원가 안정성(1~5),제조 난이도(1~5),Customer 수용성(1~5),반복구매 가능성(1~5),종합점수,판단결과
YUZU-SUDACHI Sparkling Tea,스파클링 티/RTD,3,3,4,4,3,3,HOLD
Calamansi Pomelo Prebiotic Soda,프리바이오틱 소다,3,4,3,4,4,3.25,GO
Pandan Coconut Cloud Latte,밀크티/라떼 RTD,3,4,4,4,3,3.2,HOLD
Shiso Lime Electrolyte Water,기능성 워터(전해질),3,4,3,4,3,3.05,HOLD
Matcha Mate Clean Energy Sparkling,클린 에너지 탄산,3,4,3,4,3,3.05,HOLD
L-theanine Citrus Calm Soda,멘탈케어 소다,3,4,3,4,3,3.05,HOLD
Ashwagandha Ginger Swicy Tonic,아답토젠 토닉,3,3,3,4,3,2.85,DROP
Lion’s Mane Citrus Sparkling Shot,웰니스 샷/소용량,3,3,3,4,3,2.85,DROP
Kombucha Yuzu Low Sugar,발효/콤부차,3,4,3,4,4,3.25,GO
Protein Sparkling Lemonade (Whey/Clear),클리어 단백 탄산,3,4,3,4,3,3.05,HOLD
Travel Botanicals: Citrus-Tonic Water,프리미엄 토닉/믹서,3,4,3,4,3,3.05,HOLD
Eco-First Pack Spec(공통),패키지 가이드,3,3,3,3,3,2.7,DROP
